,,,MIS  ,,BO/CO,,,
Symbol,BSE Symbol,Var+ ELM+Adhoc margin,MIS Margin(%),MIS Multiplier,BO/CO Margin(%),CO Upper Trigger,BO/CO Margin(%),BO/CO Multiplier
JYOTHYLAB,532926,17.76,8.88,11.26,5.00,10.00,5.00,20.00
KAJARIACER,500233,18.42,9.21,10.86,5.00,10.00,5.00,20.00
KANSAINER,500165,19.05,9.53,10.50,5.00,10.00,5.00,20.00
KCP,590066,24.41,12.21,8.19,6.10,10.00,7.32,13.66
KEC,532714,20.20,10.10,9.90,5.05,10.00,6.06,16.50
KENNAMET,505890,18.11,9.06,11.04,5.00,10.00,5.00,20.00
KIRIINDUS,532967,26.01,13.01,7.69,6.50,10.00,7.80,12.82
KIRLOSBROS,500241,27.66,13.83,7.23,6.92,10.00,8.30,12.05
KNRCON,532942,19.57,9.79,10.22,5.00,10.00,5.00,20.00
KOTAKBANK,500247,28.41,14.21,7.04,7.10,10.00,8.52,11.73
KRBL,530813,30.32,15.16,6.60,7.58,10.00,9.10,10.99
KSB,500249,20.32,10.16,9.84,5.08,10.00,6.10,16.40
KSCL,532899,26.13,13.07,7.65,6.53,10.00,7.84,12.76
KTKBANK,532652,19.25,9.63,10.39,5.00,10.00,5.00,20.00
L&TFH,533519,27.07,13.54,7.39,6.77,10.00,8.12,12.31
LALPATHLAB,539524,20.18,10.09,9.91,5.05,10.00,6.05,16.52
LAXMIMACH,500252,20.59,10.30,9.71,5.15,10.00,6.18,16.19
LICHSGFIN,500253,30.53,15.27,6.55,7.63,10.00,9.16,10.92
LINDEINDIA,523457,22.09,11.05,9.05,5.52,10.00,6.63,15.09
LT,500510,17.69,8.85,11.31,5.00,10.00,5.00,20.00
LTI,540005,20.65,10.33,9.69,5.16,10.00,6.20,16.14
LTTS,540115,19.86,9.93,10.07,5.00,10.00,5.00,20.00
LUPIN,500257,18.72,9.36,10.68,5.00,10.00,5.00,20.00
LUXIND,539542,18.19,9.10,11.00,5.00,10.00,5.00,20.00
M&M,500520,30.19,15.10,6.62,7.55,10.00,9.06,11.04
M&MFIN,532720,30.93,15.47,6.47,7.73,10.00,9.28,10.78
MAHEPC,523754,24.20,12.10,8.26,6.05,10.00,7.26,13.77
MAHSEAMLES,500265,19.54,9.77,10.24,5.00,10.00,5.00,20.00
MANAPPURAM,531213,31.69,15.85,6.31,7.92,10.00,9.51,10.52
MANGLMCEM,502157,21.78,10.89,9.18,5.45,10.00,6.53,15.30
MARICO,531642,12.82,6.41,15.60,5.00,10.00,5.00,20.00
MARUTI,532500,19.81,9.91,10.10,5.00,10.00,5.00,20.00
MAZDOCK,543237,14.56,7.28,13.74,5.00,10.00,5.00,20.00
MCDOWELL-N,532432,17.86,8.93,11.20,5.00,10.00,5.00,20.00
MCX,534091,23.36,11.68,8.56,5.84,10.00,7.01,14.27
MEGH,532865,25.88,12.94,7.73,6.47,10.00,7.76,12.88
METROPOLIS,542650,21.17,10.59,9.45,5.29,10.00,6.35,15.75
MFSL,500271,32.23,16.12,6.21,8.06,10.00,9.67,10.34
MGL,539957,24.51,12.26,8.16,6.13,10.00,7.35,13.60
MIDHANI,541195,23.98,11.99,8.34,6.00,10.00,7.19,13.90
MINDACORP,538962,26.38,13.19,7.58,6.60,10.00,7.91,12.64
MINDTREE,532819,27.07,13.54,7.39,6.77,10.00,8.12,12.31
MMTC,513377,24.44,12.22,8.18,6.11,10.00,7.33,13.64
MOIL,533286,18.92,9.46,10.57,5.00,10.00,5.00,20.00
MOLDTKPAC,533080,18.67,9.34,10.71,5.00,10.00,5.00,20.00
MOTHERSUMI,517334,34.60,17.30,5.78,8.65,10.00,10.38,9.63
MOTILALOFS,532892,21.76,10.88,9.19,5.44,10.00,6.53,15.32
MPHASIS,526299,20.24,10.12,9.88,5.06,10.00,6.07,16.47
MRF,500290,16.04,8.02,12.47,5.00,10.00,5.00,20.00
MRPL,500109,21.99,11.00,9.10,5.50,10.00,6.60,15.16
MUTHOOTFIN,533398,27.45,13.73,7.29,6.86,10.00,8.24,12.14
NATCOPHARM,524816,19.02,9.51,10.52,5.00,10.00,5.00,20.00
NATIONALUM,532234,20.47,10.24,9.77,5.12,10.00,6.14,16.28
NAUKRI,532777,21.91,10.96,9.13,5.48,10.00,6.57,15.21
NAVKARCORP,539332,31.78,15.89,6.29,7.95,10.00,9.53,10.49
NBCC,534309,25.28,12.64,7.91,6.32,10.00,7.58,13.19
NCC,500294,30.35,15.18,6.59,7.59,10.00,9.11,10.98
NCLIND,502168,24.85,12.43,8.05,6.21,10.00,7.46,13.41
NESCO,505355,20.74,10.37,9.64,5.19,10.00,6.22,16.07
NESTLEIND,500790,16.44,8.22,12.17,5.00,10.00,5.00,20.00
NH,539551,19.45,9.73,10.28,5.00,10.00,5.00,20.00
NIACL,540769,24.41,12.21,8.19,6.10,10.00,7.32,13.66
NIFTYBEES,Not listed in BSE,12.59,6.30,15.89,5.00,10.00,5.00,20.00
NLCINDIA,513683,16.91,8.46,11.83,5.00,10.00,5.00,20.00
NMDC,526371,31.95,15.98,6.26,7.99,10.00,9.59,10.43
NOCIL,500730,27.20,13.60,7.35,6.80,10.00,8.16,12.25
NTPC,532555,16.17,8.09,12.37,5.00,10.00,5.00,20.00
OBEROIRLTY,533273,23.47,11.74,8.52,5.87,10.00,7.04,14.20
OFSS,532466,18.16,9.08,11.01,5.00,10.00,5.00,20.00
OIL,533106,21.64,10.82,9.24,5.41,10.00,6.49,15.40
ONGC,500312,50.96,25.48,3.92,12.74,10.00,15.29,6.54
